bk	ck	命中词
02E03556FC0BC4CFE5E7CCA83A50FD45	2033321D8759EF51115299D7BFD0C7DB	学生朝
9783A31DDF78D4E310252DAC8C21618E	5720881BA4679AC0CE666CD2CD857462	反共
BCDE03060033D14E46DFC6A6C5A70E1B	1C4265CA8F0F27C60F0C86E0610C3C8C	学生朝
446C257B9C2867D275C5188F0E3436AE	785C601030E26B1F5D823754BAAB6103	学生爆
9B55234B06F89939B15533EE63AB8DBE	0EC77988A33A9254D29B9DF5443E7998	六月四日###六月四
9B55234B06F89939B15533EE63AB8DBE	5A3995D58D4EC35D5317C26468AB6AC8	98年事件###98年屠杀
98ED7F61E667068388D2F65E6B3B57BE	676CEF11F11D6E26F4D1F58C09924BE6	学潮事件
2D1074513501567F899320C7232C644F	27B42EB81C7161187677231447F70B07	反共
C57F357A79BD6D5DFF96BCF3B1ACACAF	7D9FD8D33C9F71C3F8F00ECEDFC3C808	反共
9225CA8BDF998A925DB446B0568A0A07	01C67813CC177E82684D574DFD391458	八jiu
9225CA8BDF998A925DB446B0568A0A07	156AF95BD58ABF88508AF2C973CC8632	八jiu
9225CA8BDF998A925DB446B0568A0A07	1D52C6D1A98167188D3000C837832622	天安门广场
9225CA8BDF998A925DB446B0568A0A07	454D0815A09A89000CF6825A4F748AF0	八jiu
9225CA8BDF998A925DB446B0568A0A07	66DA44579F60631094B63EF8A6705793	八jiu
9225CA8BDF998A925DB446B0568A0A07	69EE3CC0A891B3AB8E80F625E07D5CAE	天安门广场
9225CA8BDF998A925DB446B0568A0A07	6D1FDD09F665C3BB5D209A790A5747F2	天安门广场
9225CA8BDF998A925DB446B0568A0A07	81348B47D6833F1C51B68D09043DE3F2	八jiu
9225CA8BDF998A925DB446B0568A0A07	8722322A47CE13A633182C42897F60B7	天安门广场
9225CA8BDF998A925DB446B0568A0A07	906F866CBB47B1F18FD7F5ECF424A1CC	天安门广场
9225CA8BDF998A925DB446B0568A0A07	942458E0525AD0B7494ABF02F5829EF1	八jiu
9225CA8BDF998A925DB446B0568A0A07	AAF6A417AA7E4E0EAF0DBEE6EB8EA43F	八jiu
9225CA8BDF998A925DB446B0568A0A07	B9F9D479D46A94296887B28217AA6670	天安门广场
9225CA8BDF998A925DB446B0568A0A07	C3AC42C19050015BCDC69DB0BACCFABD	天安门广场
9225CA8BDF998A925DB446B0568A0A07	CCFA12A4746D3768DC265FC1B37741D6	天安门广场
9225CA8BDF998A925DB446B0568A0A07	D3C110FE3912ED68ADBBF9F68FDDC900	八jiu
9225CA8BDF998A925DB446B0568A0A07	D4E690FF7CEAE548C6BC34AD45F8AEE4	天安门广场
475DBE13F919D40E645A74CCC6FBEA1B	8F89EAEDA0B4B569EE73F34C3BFBA6FF	反革命分子
5C130FCDABE81C4924DA2A31CE98808E	4B02CE22B7E9B181349AEF80D712446F	反共
527C6FCB1DC9914C51A0FF8051962B8A	1C5EA6A1BCABBBCDDF8BF678D3E956F7	反共
